"1","Namaste Ji 🙏 Welcome to ICMDA\nSend Menu number 🔢 to get quick reply","parent",1
"3","Classical Competitions Season 2","parent",2
"4","Fusion Competitions","parent",2
"5","Guinness World Record Certificate","parent",2
"6","What do you want to know?","3",1
"7","Send Registration link","3",2
"8","https://www.icmda.in/online-competition-2021?src=wr\nOpen this link and click register","7",1
"9","Send me video submission link","3",2
"10","https://docs.google.com/forms/d/e/1FAIpQLSe-VC-ONyZK5DeLW0d6VGIK7Li9a1gfCj7bellQar86L-h5Nw/viewform","9",1
"11","What to know about time limit and song items","3",2
"12","https://www.icmda.in/guidelines?src=wr\n\nPlease check the time limit and song items and prizes and all other details about competition","11",1
"13","How can i refer & earn","3",2
"14","https://www.icmda.in/online-competition-2021?src=refer\nYou can share this link and they need to enter your mobile number in referer phone number. You will get 5% to 10% for each registration","13",1
"15","Send number to get answer","5",1
"16","Send me Guinness certificate dispatch link to pay 500","5",2
"17","when can i get my certificates if i pay the money?","5",2
"18","Send me link to pay 6000 for Guinness certificate","5",2
"19","https://pages.razorpay.com/guinness-world-record-2020","16",1
"20","We will dispatch your certificate with in 14 days after your payment","17",1
"21","https://rzp.io/l/world-record-payment-6000","18",1
"22","Send number to get answer","4",1
"23","Send me Fusion competition registration link","4",2
"24","What is the time limit","4",2
"25","Other","4",2
"26","https://www.icmda.in/fusion-competitions-2021?src=wr\n\nOpen this link and click register","23",1
"27","There is no time limit, but minimum 5 minutes","24",1
"28","Please submit your query. Our agent will assist you shortly.","25",1
"29","Other","3",2
"30","Please submit your query. Our agent will assist you shortly.","29",1
"31","Other","5",2
"32","Please submit your query. Our agent will assist you shortly.","31",1
"33","Check all competitions, events and awards with posters","parent",2
"34","Please visit ICMDA catalog\n\nhttps://wa.me/c/919515417732","33",1
"35","Talk to customer care executive","parent",2
"36","Please submit your query. Our agent will assist you shortly.","35",1
"37","Join ICMDA group to get latest updates","parent",2
"38","You will get only important notifications from us. We don't disturb you with multiple posts everyday. \n\nhttps://chat.whatsapp.com/DUZpnPMsDXxKyiQ9GujfYn","37",1
